,item 1,item 2,count
0,"""Brides Have More Fun"" Tees - Blonde (Heather Black) ","""Brides Have More Fun"" Tees - Brunette (Heather Black) ",1
1,"""Brides Have More Fun"" Tees - Blonde (Heather Black) ",Bach & Boujee Banner,1
2,"""Brides Have More Fun"" Tees - Blonde (Heather Black) ",Bride To Be Sashes - White,1
3,"""Brides Have More Fun"" Tees - Blonde (Heather Black) ",Mini Vino Before Vows Party Garland,1
4,"""Brides Have More Fun"" Tees - Brunette (Heather Black) ",Bach & Boujee Banner,1
5,"""Brides Have More Fun"" Tees - Brunette (Heather Black) ",Bride To Be Sashes - White,1
6,"""Brides Have More Fun"" Tees - Brunette (Heather Black) ",Mini Vino Before Vows Party Garland,1
7,"26"" Mylar Pineapple Balloon",Let's Flamingle Napkins,1
8,"26"" Mylar Pineapple Balloon",Pineapple Party Napkins,1
9,"36"" Mylar Engagement Ring Balloon","36"" Mylar Flamingo Balloon",1
10,"36"" Mylar Engagement Ring Balloon",Bachelorette Dare Cards,1
11,"36"" Mylar Engagement Ring Balloon",Black & Gold Brushed Heart Balloon Set,1
12,"36"" Mylar Engagement Ring Balloon",Bride & Bride Tribe Sunnies - Bride,1
13,"36"" Mylar Engagement Ring Balloon",Bride Koozies - White,1
14,"36"" Mylar Engagement Ring Balloon",Bride Pin - Silver,1
15,"36"" Mylar Engagement Ring Balloon",Bride To Be Sunnies,2
16,"36"" Mylar Engagement Ring Balloon",Bride Tribe Sunnies - Bride,1
17,"36"" Mylar Engagement Ring Balloon",Cheers Bitches Can Coolers - Cheers Bitches (Pink Koozie),1
18,"36"" Mylar Engagement Ring Balloon",Confetti Balloons,1
19,"36"" Mylar Engagement Ring Balloon",Engagement Ring Garland,2
20,"36"" Mylar Engagement Ring Balloon",Flamingo Straws,1
21,"36"" Mylar Engagement Ring Balloon",Gold Chevron Party Straws,2
22,"36"" Mylar Engagement Ring Balloon",Gold Polka Dot Party Straws,2
23,"36"" Mylar Engagement Ring Balloon",Gold Stripe Party Straws,3
24,"36"" Mylar Engagement Ring Balloon",I Do Crew Flower Crowns - White,1
25,"36"" Mylar Engagement Ring Balloon",I Do Crew Gold Confetti Balloons,3
26,"36"" Mylar Engagement Ring Balloon",I Do Crew Photo Booth Props,1
27,"36"" Mylar Engagement Ring Balloon",Last Fling Before The Ring Napkins,3
28,"36"" Mylar Engagement Ring Balloon",Let's Flamingle Napkins,1
29,"36"" Mylar Engagement Ring Balloon",Let's PARTAY! Frost Flex Shot Cups (8 count),1
30,"36"" Mylar Engagement Ring Balloon",Maid of Honor Headband,1
31,"36"" Mylar Engagement Ring Balloon",Mylar Love Calligraphy Balloon,8
32,"36"" Mylar Engagement Ring Balloon",Pink Brush Confetti Snack Plates,1
33,"36"" Mylar Engagement Ring Balloon",Pink Dot Napkins,1
34,"36"" Mylar Engagement Ring Balloon",Pink Party Balloons,1
35,"36"" Mylar Engagement Ring Balloon",Pink Pineapple Mason Jar Sipper,1
36,"36"" Mylar Engagement Ring Balloon",Pink Polka Dot Party Straws,1
37,"36"" Mylar Engagement Ring Balloon",Pop The Bubbly Napkins,1
38,"36"" Mylar Engagement Ring Balloon",Sip Sip Hooray Napkins,1
39,"36"" Mylar Engagement Ring Balloon",Sippity Yay! Frost Flex Cups (8 count),1
40,"36"" Mylar Engagement Ring Balloon",Team Bride Balloons,1
41,"36"" Mylar Engagement Ring Balloon",Team Bride Photo Booth Props,1
42,"36"" Mylar Flamingo Balloon","26"" Mylar Pineapple Balloon",1
43,"36"" Mylar Flamingo Balloon",Confetti Balloons,1
44,"36"" Mylar Flamingo Balloon",Flamingo Napkins,1
45,"36"" Mylar Flamingo Balloon",Flamingo Straws,1
46,"36"" Mylar Flamingo Balloon",Let's Flamingle Napkins,1
47,"36"" Mylar Flamingo Balloon",Mylar Love Calligraphy Balloon,1
48,"36"" Mylar Flamingo Balloon",Pineapple Party Napkins,2
49,Acrylic Confetti Wine Tumbler - Blush Ombre,Acrylic Confetti Wine Tumbler - Blush Ombre,1
50,Acrylic Confetti Wine Tumbler - Blush Ombre,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre,1
51,Acrylic Confetti Wine Tumbler - Blush Ombre,Acrylic Confetti Wine Tumbler - Pink Ombre,1
