,item 1,item 2
0,"Grey, Pink & Mint Drunk in Love Tanks - Drunk in Love (Grey Tank) ","Grey, Pink & Mint Drunk in Love Tanks - Drunk in Love (Grey Tank) "
1,Gold Bachelorette Tattoos Mix Pack,Gold Bachelorette Tattoos Mix Pack
2,"Grey, Pink & Mint Bride Tribe Tanks - Bride (Grey Tank) ","Grey, Pink & Mint Bride Tribe Tanks - Bride (Grey Tank) "
3,"Grey, Pink & Mint Bride Tribe Tanks - Bride (Grey Tank) ","Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Mint Tank) "
4,"Grey, Pink & Mint Bride Tribe Tanks - Bride (Grey Tank) ",Flamingo Sunnies
5,"Grey, Pink & Mint Bride Tribe Tanks - Bride (Grey Tank) ",Pineapple Sunnies
6,"Grey, Pink & Mint Bride Tribe Tanks - Bride (Grey Tank) ","Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Mint Tank) "
7,"Grey, Pink & Mint Bride Tribe Tanks - Bride (Grey Tank) ",Flamingo Sunnies
8,"Grey, Pink & Mint Bride Tribe Tanks - Bride (Grey Tank) ",Pineapple Sunnies
9,"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Mint Tank) ",Flamingo Sunnies
10,"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Mint Tank) ",Pineapple Sunnies
11,Flamingo Sunnies,Pineapple Sunnies
12,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Black & White Drunk in Love Tanks - Drunk in Love (White Tank) 
13,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) 
14,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) 
15,Black & White Drunk in Love Tanks - Drunk in Love (White Tank) ,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) 
16,Black & White Drunk in Love Tanks - Drunk in Love (White Tank) ,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) 
17,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) 
18,Flamingo Drink Floaties Set,Bride To Be Headband - Light Pink
19,Bride To Be Headband - Light Pink,Bride To Be Headband - Light Pink
20,Black & White Bride Tribe Tanks - Bride (White Tank) ,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) 
21,Sip Sip Hooray Banner,Sip Sip Hooray Banner
22,Bride To Be Headband Veil,Drinking Buddies Drink Markers
23,Bride To Be Headband Veil,Gold Chevron Party Straws
24,Drinking Buddies Drink Markers,Gold Chevron Party Straws
25,Gold Bride Tribe Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),She Said Yaaas Banner
26,Gold Bride Tribe Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),Inflatable Selfie Frame
27,She Said Yaaas Banner,Inflatable Selfie Frame
28,Cheers Bitches Banner,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) 
29,Cheers Bitches Banner,Bride Tribe Stemless Wine Tumblers - Bride
30,Cheers Bitches Banner,Let's Flamingle Snack Plates
31,Cheers Bitches Banner,Pineapple Snack Plates
32,Cheers Bitches Banner,Rose All Day Napkins
33,Cheers Bitches Banner,Engagement Ring Garland
34,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Bride Tribe Stemless Wine Tumblers - Bride
35,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Let's Flamingle Snack Plates
36,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Pineapple Snack Plates
37,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Rose All Day Napkins
38,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Engagement Ring Garland
39,Bride Tribe Stemless Wine Tumblers - Bride,Let's Flamingle Snack Plates
40,Bride Tribe Stemless Wine Tumblers - Bride,Pineapple Snack Plates
41,Bride Tribe Stemless Wine Tumblers - Bride,Rose All Day Napkins
42,Bride Tribe Stemless Wine Tumblers - Bride,Engagement Ring Garland
43,Let's Flamingle Snack Plates,Pineapple Snack Plates
44,Let's Flamingle Snack Plates,Rose All Day Napkins
45,Let's Flamingle Snack Plates,Engagement Ring Garland
46,Pineapple Snack Plates,Rose All Day Napkins
47,Pineapple Snack Plates,Engagement Ring Garland
48,Rose All Day Napkins,Engagement Ring Garland
49,Pink Party Tissue Paper Tassel Garland,Bachelorette Dare Cards
50,Pink Party Tissue Paper Tassel Garland,Bride's Drinking Team Frost Flex Cups (8 count)
51,Pink Party Tissue Paper Tassel Garland,Engagement Ring Garland
52,Pink Party Tissue Paper Tassel Garland,Light Pink Bachelorette Bash Napkins
53,Pink Party Tissue Paper Tassel Garland,Pink Polka Dot Party Straws
54,Bachelorette Dare Cards,Bride's Drinking Team Frost Flex Cups (8 count)
55,Bachelorette Dare Cards,Engagement Ring Garland
56,Bachelorette Dare Cards,Light Pink Bachelorette Bash Napkins
57,Bachelorette Dare Cards,Pink Polka Dot Party Straws
58,Bride's Drinking Team Frost Flex Cups (8 count),Engagement Ring Garland
59,Bride's Drinking Team Frost Flex Cups (8 count),Light Pink Bachelorette Bash Napkins
60,Bride's Drinking Team Frost Flex Cups (8 count),Pink Polka Dot Party Straws
61,Engagement Ring Garland,Light Pink Bachelorette Bash Napkins
62,Engagement Ring Garland,Pink Polka Dot Party Straws
63,Light Pink Bachelorette Bash Napkins,Pink Polka Dot Party Straws
64,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) 
65,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) 
66,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Black & White Bride Tribe Tanks - Bride (White Tank) 
67,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) 
68,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) 
69,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Black & White Bride Tribe Tanks - Bride (White Tank) 
70,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) 
71,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) ,Black & White Bride Tribe Tanks - Bride (White Tank) 
