Product Category (Enhanced Ecommerce),Product Revenue,Quantity
Tanks,"$35,483.20","1,799"
Banners & Garlands,"$26,194.65","1,335"
Party Cups & Tumblers,"$23,243.85","1,998"
Sunglasses,"$15,906.30","2,465"
Games,"$13,346.25","12,521"
For the Bride,"$11,703.80",518
Hair Accessories,"$8,693.65","1,276"
Drink Accessories,"$8,390.75",643
Koozie,"$7,415.65","1,652"
Napkins,"$5,302.65",867
Tattoos,"$5,023.05",241
Pin,"$4,815.90",149
Balloons,"$4,108.80",560
Plates,"$2,925.80",467
Tees & Tanks,"$2,685.00",114
Headbands & Hats,"$2,535.00",313
Straws & Stirrers,"$2,266.65",385
Banners,"$2,181.65",141
Shot Glasses,"$1,437.80",236
Tassel Garland,"$1,196.97",40
Favor Bags,$960.00,96
Photo Booth Backdrop,$672.00,28
Bar Accessories,$643.90,40
Dessert Accessories,$327.90,25
Pool Float,$308.00,11
Hangover Kit,$214.00,32
Gift Bag,$120.00,12
Confetti,$90.00,15
Buttons,$72.00,4
