Day Index,Revenue
4/13/17,$224.80
4/14/17,$0.00
4/15/17,$0.00
4/16/17,$0.00
4/17/17,$0.00
4/18/17,$113.26
4/19/17,$110.83
4/20/17,$0.00
4/21/17,$0.00
4/22/17,$0.00
4/23/17,$8.40
4/24/17,$0.00
4/25/17,$0.00
4/26/17,$239.53
4/27/17,$280.00
4/28/17,$144.80
4/29/17,$0.00
4/30/17,$36.89
5/1/17,$141.94
5/2/17,$130.22
5/3/17,$0.00
5/4/17,$79.03
5/5/17,$236.70
5/6/17,$158.76
5/7/17,$160.00
5/8/17,$9.61
5/9/17,$195.13
5/10/17,$450.16
5/11/17,$446.90
5/12/17,$97.61
5/13/17,$129.60
5/14/17,$507.73
5/15/17,$96.87
5/16/17,$70.60
5/17/17,$135.61
5/18/17,$190.60
5/19/17,$101.47
5/20/17,$14.00
5/21/17,$9.61
5/22/17,$261.47
5/23/17,$206.42
5/24/17,$228.00
5/25/17,$73.61
5/26/17,$130.59
5/27/17,$223.52
5/28/17,$69.12
5/29/17,$103.87
5/30/17,$260.56
5/31/17,$23.61
6/1/17,$195.20
6/2/17,$146.22
6/3/17,$0.00
6/4/17,$9.61
6/5/17,$191.78
6/6/17,$116.39
6/7/17,$22.38
6/8/17,$78.80
6/9/17,$207.03
6/10/17,$225.79
6/11/17,$42.70
6/12/17,$209.23
6/13/17,$50.50
6/14/17,$45.54
6/15/17,$83.86
6/16/17,$209.64
6/17/17,$312.00
6/18/17,$79.00
6/19/17,$149.32
6/20/17,$48.83
6/21/17,$737.37
6/22/17,$31.21
6/23/17,$169.42
6/24/17,$100.11
6/25/17,$0.00
6/26/17,$43.77
6/27/17,$354.81
6/28/17,$80.98
6/29/17,$45.22
6/30/17,$0.00
7/1/17,$7.86
7/2/17,$278.10
7/3/17,$46.85
7/4/17,$0.00
7/5/17,$286.52
7/6/17,$0.00
7/7/17,$47.52
7/8/17,$81.38
7/9/17,$0.00
7/10/17,$232.34
7/11/17,$231.65
7/12/17,$20.62
7/13/17,$186.02
7/14/17,$40.61
7/15/17,$93.10
7/16/17,$322.71
7/17/17,$161.09
7/18/17,$106.16
7/19/17,$48.56
7/20/17,$217.74
7/21/17,$91.11
7/22/17,$113.59
7/23/17,$380.02
7/24/17,$562.48
7/25/17,$77.46
7/26/17,$193.28
7/27/17,$34.87
7/28/17,$408.98
7/29/17,$61.83
7/30/17,$105.72
7/31/17,$337.16
8/1/17,$622.99
8/2/17,$133.72
8/3/17,$230.45
8/4/17,$980.21
8/5/17,$131.08
8/6/17,$101.29
8/7/17,$350.61
8/8/17,$377.43
8/9/17,$293.23
8/10/17,$0.00
8/11/17,$29.66
8/12/17,$86.54
8/13/17,$123.80
8/14/17,$67.09
8/15/17,$413.64
8/16/17,$68.04
8/17/17,$85.49
8/18/17,$197.85
8/19/17,$19.41
8/20/17,$391.36
8/21/17,$0.00
8/22/17,$257.03
8/23/17,$45.62
8/24/17,$236.32
8/25/17,$42.32
8/26/17,$30.74
8/27/17,$27.91
8/28/17,$75.38
8/29/17,$24.51
8/30/17,$335.50
8/31/17,$291.01
9/1/17,$49.63
9/2/17,$0.00
9/3/17,$32.61
9/4/17,$32.11
9/5/17,$251.90
9/6/17,$669.82
9/7/17,$190.52
9/8/17,$172.45
9/9/17,$294.42
9/10/17,$0.00
9/11/17,$15.16
9/12/17,$66.51
9/13/17,$91.23
9/14/17,$96.48
9/15/17,$0.00
9/16/17,$0.00
9/17/17,$112.16
9/18/17,$419.80
9/19/17,$151.84
9/20/17,$0.00
9/21/17,$287.74
9/22/17,$38.72
9/23/17,$0.00
9/24/17,$0.00
9/25/17,$38.72
9/26/17,$116.89
9/27/17,$125.64
9/28/17,$37.48
9/29/17,$12.11
9/30/17,$311.51
10/1/17,$0.00
10/2/17,$31.47
10/3/17,$0.00
10/4/17,$118.00
10/5/17,$32.11
10/6/17,$138.49
10/7/17,$49.64
10/8/17,$71.64
