,Product_name,1,2,3,4,5
0,"""Brides Have More Fun"" Tees - Blonde (Heather Black) ","""Brides Have More Fun"" Tees - Brunette (Heather Black) ",Bach & Boujee Banner,Mini Vino Before Vows Party Garland,Bride's Babes Tees - Bride (White) ,Bride's Babes Tees - Bride's Babes (Peach) 
1,"""Brides Have More Fun"" Tees - Brunette (Heather Black) ","""Brides Have More Fun"" Tees - Brunette (Heather Black) ",Bach & Boujee Banner,Mini Vino Before Vows Party Garland,Bride's Babes Tees - Bride (White) ,Bride's Babes Tees - Bride's Babes (Peach) 
2,"26"" Mylar Pineapple Balloon",Pink Pineapple Party Napkins,"36"" Mylar Flamingo Balloon",Pineapple Party Napkins,Let's Flamingle Napkins,Bachelorette Headband Party Pack
3,"36"" Mylar Engagement Ring Balloon",Mylar Love Calligraphy Balloon,I Do Crew Gold Confetti Balloons,Pink Confetti Balloon Bundle,Last Fling Before The Ring Napkins,Engagement Ring Garland
4,"36"" Mylar Flamingo Balloon",Sippity Yay! Party Cups (8 count),Squad Goals Banner,Let's Flamingle Banner,Bach Shit Crazy Banner,"26"" Mylar Pineapple Balloon"
5,Acrylic Confetti Wine Tumbler - Blush Ombre,Acrylic Confetti Wine Tumbler - Pink Ombre,Bride Squad Paper Shot Cups (10 count),Pink & Gold Brushed Heart Balloon Set,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre,Mini Light Pink Heart Balloon Set
6,Acrylic Confetti Wine Tumbler - Pineapples,Bachelorette Tattoo Party Pack,Rose All Day Napkins,I Do Crew Flower Crowns - White,Drink Please! Bar Top Bell,Cheers Bitches Tanks - Future Mrs. (White Tank) 
7,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre,Acrylic Confetti Wine Tumbler - Pink Ombre,Black & Gold Brushed Heart Balloon Set,Bride Squad Frost Flex Wine Cups (8 count),Pink Party Balloons,Bachelorette Bash Acrylic Wine Tumbler
8,Acrylic Confetti Wine Tumbler - Pink Ombre,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre,Acrylic Confetti Wine Tumbler - Blush Ombre,Black & Gold Brushed Heart Balloon Set,Bride Squad Frost Flex Wine Cups (8 count),Bride Squad Paper Shot Cups (10 count)
9,Aloha Beaches Can Coolers - Aloha Beaches (Black Koozie),Pink & Green Pineapple Tumbler with Straw,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) ,Bride Tribe Can Coolers - White (Bride),I Do Crew Flower Crowns - Blue,I Do Crew Flower Crowns - Purple
10,Aloha Beaches Koozies - Black (Aloha Beaches),Aloha Beaches Koozies - White (Aloha Bride),Tropical Prosecco Pong,I Do Crew Photo Booth Props,You Had Me at Tacos Napkins,Double Date Photo Booth Props
11,Aloha Beaches Koozies - White (Aloha Bride),Aloha Beaches Koozies - Black (Aloha Beaches),Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames),Bride Tribe Sunnies - Bride Tribe (Black Frames),Tropical Prosecco Pong,Bride Tribe Sunnies - Bride Tribe (Light Pink Frames)
12,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) ,Aloha Beaches Tanks - Aloha Bride (White Tank) ,Aloha Beaches Can Coolers - Aloha Beaches (Black Koozie),Pink & Green Pineapple Tumbler with Straw,Bride Tribe Can Coolers - White (Bride),I Do Crew Flower Crowns - Blue
