Product SKU,Transaction ID,Product,Source,City,Product Revenue,Quantity
GAM1700,#7538,Wishes for the Couple Cards,(direct),Washington,$944.41,47
TAN500-JD-BLACK-M,1.18331E+11,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) / M,google,Nashville,$787.01,39
TAN700-CC-L,#7678,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / L,(direct),Chicago,$629.61,31
TAN700-CC-M,#6602,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,(direct),Washington,$577.14,29
TAN800-FSTR-M,#6634,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,google,Encinitas,$577.14,29
HAI1700,#8881,Fluffy Pom-Pom Bachelorette Beanies - Black (Babe),Sumo,Tuckahoe,$566.65,24
5.28755E+12,#6828,Custom Listing for Morgan Kelly,outlook.live.com,Bloomington,$472.21,3
TAN1100-LL-M,#8430,Lake Life Tanks - Lake Life (Teal) / M,(direct),Denver,$472.21,24
HAI1700,#8746,Fluffy Pom-Pom Bachelorette Beanies - Black (Babe),google,Escondido,$440.73,18
TUM100,#8760,Blue & Purple Confetti Tumbler,pinterest.com,Syosset,$440.73,37
TUM600,#7933,Mint Ombre Confetti Tumbler,google,Escondido,$409.25,34
HAI700,#7026,Bridesmaid Headband,google,Monterrey,$399.15,45
29304636365,#2269,Acrylic Confetti Wine Tumbler - Blush Ombre,google,Tittabawassee Township,$393.50,39
SUN500-LTPINK,#6553,Heart Sunnies - Light Pink,(direct),New York,$393.50,66
TAN700-CC-M,#7247,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,google,Charlotte,$367.27,18
TAN800-FSTR-S,#8426,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / S,google,Union Park,$367.27,18
TAN1000-DRI-S,#8854,Sun & Sand Tanks - Sun Sand & A Drink In My Hand (Peach) / S,google,Philadelphia,$346.28,16
TAN800-FSTR-S,#8771,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / S,(direct),New York,$346.28,16
TUM100,#8226,Blue & Purple Confetti Tumbler,(direct),Stevensville,$346.28,29
BAN500,1.18331E+11,Rainbow Sherbet Tissue Paper Tassel Garland,google,Nashville,$341.04,13
SUN800-PINKGREY,#7501,Retro Heart Sunnies - Light Pink (Classic Lenses),google,Chula Vista,$335.79,42
NAP1600,#7538,Ring Bling Napkins,(direct),Washington,$330.54,47
NAP2300,#7538,Rose Gold Ring Bling Napkins,(direct),Washington,$330.54,47
BAN2300,#8832,Final Fiesta Tassel Garland,google,Jackson,$314.80,10
HAI1700,#8848,Fluffy Pom-Pom Bachelorette Beanies - Black (Babe),pinterest.com,Dallas,$314.80,13
SUN800-PINKGREY,#8509,Retro Heart Sunnies - Light Pink,google,(not set),$314.80,39
TAN400-BT-BLACK-L,#3910,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / L,google,Milwaukee,$314.80,16
TAN500-JD-BLACK-S,#6592,Drunk in Love Tanks - Just Drunk (Black Tank) / S,google,Vancouver,$314.80,16
TAN800-FSTR-L,#6788,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / L,(direct),Gig Harbor,$314.80,16
TAN900-T-M,#7413,Mermaid Squad Tanks - Mermaid Squad (Teal) / M,(direct),Prairie Village,$314.80,16
TUM200,#6931,Blush Ombre Confetti Tumbler,google,Lawrence,$314.80,31
TUM200,#7358,Blush Ombre Confetti Tumbler,google,Wilmington,$314.80,31
TUM700,#7481,Pink Ombre Confetti Tumbler,google,Avon Lake,$314.80,26
HAI700,#7419,Squad Headband,google,Laguna Niguel,$305.23,34
TAN100-CHRS-M,#3188,Future Mrs. | Cheers Bitches Tank Tops - Cheers Bitches (Pink Tank) / M,google,Seattle,$301.03,13
TAN500-JD-BLACK-L,#7368,Drunk in Love Tanks - Just Drunk (Black Tank) / L,google,Louisville,$298.28,16
TUM200,#6809,Blush Ombre Confetti Tumbler,google,Washington,$288.57,29
SUN500-WHITE,#8913,Heart Sunnies - White,google,Los Angeles,$267.58,45
1.20096E+11,1.18331E+11,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre,google,Nashville,$262.34,26
30195400845,#1388,"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Mint Tank) / S",(direct),New York,$262.34,13
TAN400-BT-BLACK-L,#3698,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / L,l.instagram.com,Concord,$262.34,13
TAN400-BT-BLACK-M,#3698,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / M,l.instagram.com,Concord,$262.34,13
TAN400-BT-BLACK-S,#3698,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / S,l.instagram.com,Concord,$262.34,13
