Product SKU,Transaction ID,Product,Region,Product Category (Enhanced Ecommerce),Product Revenue,Quantity
GAM1700,#7538,Wishes for the Couple Cards,District of Columbia,Games,$360.00,18
TAN500-JD-BLACK-M,1.18E+11,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) / M,Tennessee,Tanks,$300.00,15
TUM300,#6539,Disco Drink Tumbler,Virginia,Party Cups & Tumblers,$280.00,14
TAN700-CC-L,#7678,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / L,Illinois,Tanks,$240.00,12
TAN800-FSTR-S,#6777,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / S,New Jersey,Tanks,$240.00,12
TUM100,#8849,Blue & Purple Confetti Tumbler,Florida,Party Cups & Tumblers,$240.00,20
TUM1500-DIL,#4370,Drunk in Love Stemless Wine Tumblers - Drunk in Love,California,Party Cups & Tumblers,$240.00,20
TUM700,#7989,Pink Ombre Confetti Tumbler,Pennsylvania,Party Cups & Tumblers,$240.00,20
TAN700-CC-M,#6602,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,District of Columbia,Tanks,$220.00,11
TAN800-FSTR-M,#6634,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,California,Tanks,$220.00,11
TUM300,#6759,Disco Drink Tumbler,Missouri,Party Cups & Tumblers,$220.00,11
HAI1700,#8881,Fluffy Pom-Pom Bachelorette Beanies - Black (Babe),Virginia,Headbands & Hats,$216.00,9
TUM600,#3824,Last Fling Tumbler with Straw,Minnesota,Party Cups & Tumblers,$216.00,18
TUM1200,#8077,Clear Glass Diamond Sipper with Straw,Florida,Party Cups & Tumblers,$198.00,11
5.29E+12,#6828,Custom Listing for Morgan Kelly,Illinois,(not set),$180.00,1
TAN1100-LL-M,#8430,Lake Life Tanks - Lake Life (Teal) / M,Colorado,Tanks,$180.00,9
TAN800-FSTR-M,#6942,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Ohio,Tanks,$180.00,9
TAN800-FSTR-M,#7764,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Kentucky,Tanks,$180.00,9
TUM1200,#8331,Clear Glass Diamond Sipper with Straw,Connecticut,Party Cups & Tumblers,$180.00,10
TUM700,#6998,Pink Ombre Confetti Tumbler,Minnesota,Party Cups & Tumblers,$180.00,18
TAN500-JD-BLACK-S,#7021,Drunk in Love Tanks - Just Drunk (Black Tank) / S,California,Tanks,$170.55,9
30173820685,#1334,Pink Confetti Acryllic Tumbler with Straw,California,Party Cups & Tumblers,$168.00,12
HAI1700,#8746,Fluffy Pom-Pom Bachelorette Beanies - Black (Babe),California,Headbands & Hats,$168.00,7
HAI200-SILV,#6716,Mini Bride Crowns - Silver,New York,Hair Accessories,$168.00,12
TUM100,#8760,Blue & Purple Confetti Tumbler,New York,Party Cups & Tumblers,$168.00,14
5.30E+12,#6842,Custom Listing for Kelly Overton,Florida,(not set),$160.00,1
TUM600,#7933,Mint Ombre Confetti Tumbler,California,Party Cups & Tumblers,$156.00,13
HAI700,#7026,Bridesmaid Headband,Nuevo Leon,Hair Accessories,$152.15,17
29304636365,#2269,Acrylic Confetti Wine Tumbler - Blush Ombre,Michigan,Party Cups & Tumblers,$150.00,15
SUN500-LTPINK,#6553,Heart Sunnies - Light Pink,New York,Sunglasses,$150.00,25
SUN500-LTPINK,#8116,Heart Sunnies - Light Pink,Washington,Sunglasses,$150.00,25
TUM100,#7033,Blue & Purple Confetti Tumbler,Florida,Party Cups & Tumblers,$150.00,15
TUM700,#6984,Pink Ombre Confetti Tumbler,New York,Party Cups & Tumblers,$150.00,15
HAI900,#7912,Bride's Babes Headband,Illinois,Hair Accessories,$144.00,18
TUM1000,#8138,Take Me To The Lake Confetti Tumbler,California,Party Cups & Tumblers,$144.00,12
TUM1200,#8109,Clear Glass Diamond Sipper with Straw,Florida,Party Cups & Tumblers,$144.00,8
TUM700,#7700,Pink Ombre Confetti Tumbler,Illinois,Party Cups & Tumblers,$144.00,12
29304636557,#1206,Acrylic Confetti Wine Tumbler - Pink Ombre,Texas,Party Cups & Tumblers,$140.00,14
30173847245,#2183,Pink & Green Pineapple Tumbler with Straw,Georgia,Party Cups & Tumblers,$140.00,10
TAN400-BT-BLACK-L,#3197,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / L,Georgia,Tanks,$140.00,7
TAN700-CC-M,#7247,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,North Carolina,Tanks,$140.00,7
TAN700-CC-S,#6607,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,Texas,Tanks,$140.00,7
TAN800-FSTR-M,#6862,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,Texas,Tanks,$140.00,7
TAN800-FSTR-S,#7018,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / S,Michigan,Tanks,$140.00,7
TAN800-FSTR-S,#8426,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / S,Florida,Tanks,$140.00,7
TUM700,#7097,Pink Ombre Confetti Tumbler,California,Party Cups & Tumblers,$140.00,14
TAN1000-DRI-S,#8854,Sun & Sand Tanks - Sun Sand & A Drink In My Hand (Peach) / S,Pennsylvania,Tees & Tanks,$132.00,6
TAN800-FSTR-S,#8771,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / S,New York,Tanks,$132.00,6
TUM100,#8226,Blue & Purple Confetti Tumbler,Michigan,Party Cups & Tumblers,$132.00,11
TUM600,#7493,Mint Ombre Confetti Tumbler,Texas,Party Cups & Tumblers,$132.00,11
BAN500,1.18E+11,Rainbow Sherbet Tissue Paper Tassel Garland,Tennessee,Banners & Garlands,$130.00,5
SUN800-PINKGREY,#7501,Retro Heart Sunnies - Light Pink (Classic Lenses),California,Sunglasses,$128.00,16
NAP1600,#7538,Ring Bling Napkins,District of Columbia,Napkins,$126.00,18
NAP2300,#7538,Rose Gold Ring Bling Napkins,District of Columbia,Napkins,$126.00,18
30177543245,#1996,Bride Tribe Stemless Wine Tumblers - Bride Tribe,Minnesota,Party Cups & Tumblers,$120.00,10
30195400909,#1055,"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Mint Tank) / M",Texas,Tanks,$120.00,6
35789223437,#2106,Disco Drink Tumbler,New York,(not set),$120.00,6
BAN2300,#8832,Final Fiesta Tassel Garland,Wyoming,Tassel Garland,$120.00,4
HAI1700,#8848,Fluffy Pom-Pom Bachelorette Beanies - Black (Babe),Texas,Headbands & Hats,$120.00,5
SUN800-PINKGREY,#8509,Retro Heart Sunnies - Light Pink,(not set),Sunglasses,$120.00,15
TAN1100-LL-M,#8021,Lake Life Tanks - Lake Life (Teal) / M,Pennsylvania,Tanks,$120.00,6
TAN400-BT-BLACK-L,#3910,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / L,Wisconsin,Tanks,$120.00,6
TAN400-BT-BLACK-M,#2621,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / M,Colorado,Tanks,$120.00,6
TAN500-JD-BLACK-M,#6981,Drunk in Love Tanks - Just Drunk (Black Tank) / M,New York,Tanks,$120.00,6
TAN500-JD-BLACK-S,#6592,Drunk in Love Tanks - Just Drunk (Black Tank) / S,British Columbia,Tanks,$120.00,6
TAN700-CC-L,#7936,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / L,North Carolina,Tanks,$120.00,6
TAN800-FSTR-L,#6788,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / L,Washington,Tanks,$120.00,6
