Transaction ID,Source,Channel,Region,Transaction_revenue
1.18331E+11,google,Organic Search,Tennessee,"$3,193.11"
#3698,l.instagram.com,Social,North Carolina,"$1,662.83"
#7538,(direct),Direct,District of Columbia,"$1,625.78"
#7247,google,Organic Search,North Carolina,"$1,195.29"
#7219,google,Organic Search,California,"$1,179.48"
#8832,google,Organic Search,Wyoming,"$1,126.35"
#8426,google,Organic Search,Florida,"$1,061.54"
#6873,google,Organic Search,New York,"$1,022.75"
#6602,(direct),Direct,District of Columbia,$956.34
#6578,google,Organic Search,Prince Edward Island,$929.77
#7025,google,Organic Search,Connecticut,$905.87
#6634,google,Organic Search,California,$866.02
#7413,(direct),Direct,Kansas,$850.08
#8539,google,Organic Search,Texas,$823.38
#7208,google,Organic Search,Minnesota,$788.45
#9069,google,Organic Search,Maryland,$786.32
#7183,google,Organic Search,Tennessee,$765.07
#9086,esc,Email,Delaware,$743.82
#6531,Master,Email,Alberta,$731.60
#3910,google,Organic Search,Wisconsin,$727.88
#8854,google,Organic Search,Pennsylvania,$722.57
#3188,google,Organic Search,Washington,$711.14
#9100,google,Organic Search,Massachusetts,$706.63
#2272,google,Organic Search,Florida,$696.00
#6592,google,Organic Search,British Columbia,$690.69
#7678,(direct),Direct,Illinois,$690.69
#8430,(direct),Direct,Colorado,$690.69
#7871,google,Organic Search,Florida,$682.72
#1825,(direct),Direct,Massachusetts,$672.09
#7368,google,Organic Search,Kentucky,$670.50
#5678,google,Organic Search,Bangkok,$664.12
#7472,google,Organic Search,British Columbia,$645.53
#7897,(direct),Direct,Florida,$637.56
#8584,google,Organic Search,Virginia,$632.25
#7775,google,Organic Search,Alberta,$629.46
#6814,pinterest.com,Social,Michigan,$592.40
#7448,(direct),Direct,California,$592.40
#4145,google,Organic Search,California,$589.74
#7536,google,Organic Search,Saskatchewan,$589.74
#1148,google,Organic Search,California,$584.43
#8554,(direct),Direct,New York,$584.43
#8771,(direct),Direct,New York,$584.43
#8969,Master,Email,Texas,$584.43
#7471,(direct),Direct,New York,$579.12
#8873,pinterest.com,Social,Oregon,$576.33
#8881,Sumo,Email,Virginia,$573.80
#7098,google,Organic Search,New Mexico,$568.49
#8269,google,Organic Search,Texas,$547.24
#9073,google,Organic Search,Georgia,$547.11
#5432,(direct),Direct,Texas,$536.61
#7753,google,Organic Search,Mississippi,$533.96
#1388,(direct),Direct,New York,$531.30
#4945,(direct),Direct,New York,$531.30
#7481,google,Organic Search,Ohio,$531.30
#7393,(direct),Direct,Oklahoma,$525.85
#7128,google,Organic Search,Connecticut,$520.67
#9117,google,Organic Search,New York,$520.67
#7896,google,Organic Search,Maryland,$515.36
#1163,google,Organic Search,California,$510.05
#8746,google,Organic Search,California,$510.05
#7262,google,Organic Search,California,$509.52
#7971,google,Organic Search,Illinois,$507.39
#8151,google,Organic Search,Washington,$496.76
#8253,google,Organic Search,Delaware,$494.11
#7026,google,Organic Search,Nuevo Leon,$483.88
#8224,google,Organic Search,New York,$483.48
#3428,(direct),Direct,Delaware,$483.35
#3575,Pinterest,Social,Pennsylvania,$478.17
#6805,google,Organic Search,Minnesota,$478.17
#6828,outlook.live.com,Referral,Illinois,$478.17
#6996,(direct),Direct,North Carolina,$478.17
#7111,(direct),Direct,Alaska,$478.17
#7933,google,Organic Search,California,$478.17
#8760,pinterest.com,Social,New York,$478.17
#8509,google,Organic Search,(not set),$467.54
#1971,google,Organic Search,California,$464.89
#3573,google,Organic Search,Colorado,$462.23
#7434,google,Organic Search,Michigan,$459.57
#7830,google,Organic Search,New York,$459.57
#6958,google,Organic Search,Texas,$451.60
#7516,google,Organic Search,New Jersey,$451.60
#7085,google,Organic Search,Maryland,$448.95
#7233,google,Organic Search,Ontario,$446.29
#6762,(direct),Direct,Indiana,$440.98
#8631,google,Organic Search,New South Wales,$440.98
#6732,(direct),Direct,Texas,$438.32
#7392,(direct),Direct,Massachusetts,$438.32
#6913,yahoo,Organic Search,California,$435.67
#6788,(direct),Direct,Washington,$425.04
#7628,google,Organic Search,(not set),$425.04
#7878,Master,Email,California,$425.04
#6670,google,Organic Search,Massachusetts,$422.38
#7383,Master,Email,Wisconsin,$419.73
#7401,google,Organic Search,Virginia,$419.73
#6880,google,Organic Search,New York,$417.07
#7325,Master,Email,Dubai,$416.94
#8251,(direct),Direct,North Carolina,$415.87
#7419,google,Organic Search,California,$415.08
#6553,(direct),Direct,New York,$414.41
#7915,google,Organic Search,Colorado,$414.41
#8070,(direct),Direct,Virginia,$414.41
#1164,yahoo,Organic Search,California,$409.10
#7144,google,Organic Search,Texas,$403.79
#8105,google,Organic Search,South Carolina,$403.79
#8825,bing,Organic Search,California,$403.79
#7890,google,Organic Search,Massachusetts,$401.13
#7979,google,Organic Search,California,$401.00
#2269,google,Organic Search,Michigan,$398.47
#7814,google,Organic Search,Texas,$398.47
#8183,google,Organic Search,Nebraska,$398.47
#8106,google,Organic Search,British Columbia,$393.16
#9120,google,Organic Search,California,$387.85
#8840,google,Organic Search,Texas,$383.86
#7347,(direct),Direct,California,$382.54
#6783,(direct),Direct,Georgia,$371.91
#7246,google,Organic Search,New York,$371.91
#8228,google,Organic Search,Kentucky,$371.91
#8255,google,Organic Search,Massachusetts,$371.91
#8848,pinterest.com,Social,Texas,$371.78
#8135,google,Organic Search,Tennessee,$371.38
#8205,google,Organic Search,Georgia,$369.25
#6944,google,Organic Search,New York,$366.60
#8921,pinterest.com,Social,Texas,$363.94
#7501,google,Organic Search,California,$361.28
#7598,google,Organic Search,Pennsylvania,$361.28
#7011,google,Organic Search,California,$358.63
#8719,google,Organic Search,Georgia,$358.63
#7173,google,Organic Search,North Carolina,$357.83
#7087,mail.google.com,Referral,Washington,$355.97
#8461,themillennialmiss.com,Referral,Alabama,$355.97
#7002,pinterest.com,Social,Texas,$353.31
#7545,google,Organic Search,Texas,$353.31
#8888,google,Paid Search,Georgia,$353.18
#8226,(direct),Direct,Michigan,$350.66
#9021,Sumo,Email,Illinois,$350.66
#7295,google,Organic Search,Oregon,$348.00
#6853,l.instagram.com,Social,California,$345.34
#7357,l.facebook.com,Social,California,$345.34
#7436,bing,Organic Search,Maryland,$345.34
#7906,google,Organic Search,Maryland,$345.34
#8184,google,Organic Search,Nebraska,$345.34
#8864,Sumo,Email,Arkansas,$345.34
#6665,google,Organic Search,Texas,$340.03
#7645,google,Organic Search,New York,$340.03
#7855,bing,Organic Search,Michigan,$340.03
#7521,(direct),Direct,District of Columbia,$337.24
#4275,pinterest.com,Social,California,$334.72
#7358,google,Organic Search,Delaware,$334.72
#7512,Master,Email,British Columbia,$334.72
#8063,google,Organic Search,District of Columbia,$334.72
#8388,l.instagram.com,Social,Tennessee,$334.45
#7063,google,Organic Search,California,$332.06
#7187,google,Organic Search,Pennsylvania,$332.06
#7609,google,Organic Search,New Jersey,$332.06
#8861,pinterest.com,Social,Tennessee,$332.06
#9027,google,Organic Search,California,$332.06
#6931,google,Organic Search,Indiana,$329.41
#7179,Master,Email,British Columbia,$329.41
#8795,google,Organic Search,Florida,$329.41
#9051,pay.shopify.com,Referral,Texas,$329.41
